config,L,H,kind,color_hex,token_sequence_length,time_per_token_s
"L=1, H=1152",1,1152,Predicted,#1f77b4,36,0.00123779217
"L=1, H=1152",1,1152,Predicted,#1f77b4,38,0.00125011557
"L=1, H=1152",1,1152,Predicted,#1f77b4,64,0.0014490581
"L=1, H=1152",1,1152,Predicted,#1f77b4,104,0.00179335416
"L=1, H=1152",1,1152,Predicted,#1f77b4,554,0.00563292212
"L=1, H=1152",1,1152,Predicted,#1f77b4,754,0.00743091281
"L=1, H=1152",1,1152,Predicted,#1f77b4,1054,0.0100676413
"L=1, H=1152",1,1152,Predicted,#1f77b4,1554,0.0154797977
"L=1, H=1152",1,1152,Predicted,#1f77b4,1854,0.019353036
"L=1, H=1152",1,1152,Predicted,#1f77b4,2054,0.0215505581
"L=1, H=1152",1,1152,Predicted,#1f77b4,2554,0.028398182
"L=1, H=1152",1,1152,Predicted,#1f77b4,3054,0.0354315008
"L=1, H=1152",1,1152,Predicted,#1f77b4,4054,0.0513099973
"L=1, H=1152",1,1152,Measured,#1f77b4,36,0.00215297521
"L=1, H=1152",1,1152,Measured,#1f77b4,38,0.00215016763
"L=1, H=1152",1,1152,Measured,#1f77b4,64,0.00223295693
"L=1, H=1152",1,1152,Measured,#1f77b4,104,0.00233160276
"L=1, H=1152",1,1152,Measured,#1f77b4,554,0.00529076407
"L=1, H=1152",1,1152,Measured,#1f77b4,754,0.00654329503
"L=1, H=1152",1,1152,Measured,#1f77b4,1054,0.0105037971
"L=1, H=1152",1,1152,Measured,#1f77b4,1554,0.0161227577
"L=1, H=1152",1,1152,Measured,#1f77b4,1854,0.0192081189
"L=1, H=1152",1,1152,Measured,#1f77b4,2054,0.0220308043
"L=1, H=1152",1,1152,Measured,#1f77b4,2554,0.0279145007
"L=1, H=1152",1,1152,Measured,#1f77b4,3054,0.0347596563
"L=1, H=1152",1,1152,Measured,#1f77b4,4054,0.0507204509
"L=1, H=2048",1,2048,Predicted,#ff7f0e,36,0.00149222436
"L=1, H=2048",1,2048,Predicted,#ff7f0e,38,0.00152132358
"L=1, H=2048",1,2048,Predicted,#ff7f0e,64,0.00191833287
"L=1, H=2048",1,2048,Predicted,#ff7f0e,104,0.00252538788
"L=1, H=2048",1,2048,Predicted,#ff7f0e,554,0.00962386504
"L=1, H=2048",1,2048,Predicted,#ff7f0e,754,0.0129493
"L=1, H=2048",1,2048,Predicted,#ff7f0e,1054,0.0182262269
"L=1, H=2048",1,2048,Predicted,#ff7f0e,1554,0.0276341558
"L=1, H=2048",1,2048,Predicted,#ff7f0e,1854,0.0336829778
"L=1, H=2048",1,2048,Predicted,#ff7f0e,2054,0.0379201201
"L=1, H=2048",1,2048,Predicted,#ff7f0e,2554,0.0490116515
"L=1, H=2048",1,2048,Predicted,#ff7f0e,3054,0.0609449842
"L=1, H=2048",1,2048,Predicted,#ff7f0e,4054,0.0873370531
"L=1, H=2048",1,2048,Measured,#ff7f0e,36,0.00247255306
"L=1, H=2048",1,2048,Measured,#ff7f0e,38,0.00247048433
"L=1, H=2048",1,2048,Measured,#ff7f0e,64,0.00264802575
"L=1, H=2048",1,2048,Measured,#ff7f0e,104,0.00283956201
"L=1, H=2048",1,2048,Measured,#ff7f0e,554,0.00961997721
"L=1, H=2048",1,2048,Measured,#ff7f0e,754,0.0122866997
"L=1, H=2048",1,2048,Measured,#ff7f0e,1054,0.0193178291
"L=1, H=2048",1,2048,Measured,#ff7f0e,1554,0.0290714942
"L=1, H=2048",1,2048,Measured,#ff7f0e,1854,0.0346394567
"L=1, H=2048",1,2048,Measured,#ff7f0e,2054,0.0391681121
"L=1, H=2048",1,2048,Measured,#ff7f0e,2554,0.049749922
"L=1, H=2048",1,2048,Measured,#ff7f0e,3054,0.0611550003
"L=1, H=2048",1,2048,Measured,#ff7f0e,4054,0.0875393992
"L=1, H=3072",1,3072,Predicted,#98df8a,36,0.00175824451
"L=1, H=3072",1,3072,Predicted,#98df8a,38,0.00180210333
"L=1, H=3072",1,3072,Predicted,#98df8a,64,0.00240179569
"L=1, H=3072",1,3072,Predicted,#98df8a,104,0.00328809009
"L=1, H=3072",1,3072,Predicted,#98df8a,554,0.0134378996
"L=1, H=3072",1,3072,Predicted,#98df8a,754,0.0182480519
