prompt_length_tokens,Token15_time_s,Token30_time_s,Token50_time_s
1000,0.0162797832,0.0158659554,0.0158754063
2000,0.0162843561,0.0159822559,0.0154848719
4000,0.0160920525,0.0144880247,0.0152207422
8000,0.0271565866,0.0166802216,0.0152690077
16000,0.0271031237,0.026766119,0.0267329979
32000,0.0539565277,0.0502898264,0.0515436745
48000,0.0707272673,0.0727491617,0.0730618906
64000,0.0995353889,0.100053587,0.0965548182
80000,0.120992399,0.122449055,0.120476135
96000,0.145995908,0.146089792,0.146343865
128000,0.194825632,0.194195935,0.199671371
