prompt_length_tokens,Token15_time_s,Token35_time_s,Token55_time_s
82,0.0229431592,0.0231487274,0.0241088791
122,0.0228905927,0.0232411866,0.0302481585
272,0.023075356,0.0237634122,0.0328600238
572,0.0232904969,0.0237213083,0.0309994934
772,0.0234116828,0.0390711791,0.0413405748
1072,0.0236900934,0.0274285484,0.0337062739
1272,0.0250048358,0.0549871954,0.0445429387
1572,0.0255264645,0.03417001,0.0567662192
1872,0.0276674133,0.0604665953,0.0596639139
1972,0.0317115969,0.0799878033,0.0709730078
2072,0.0881334936,0.103246546,0.0863618645
2172,0.161188086,0.156576813,0.187968227
2272,0.184439265,0.189330364,0.186959273
2572,0.210128865,0.209376862,0.209639602
3072,0.216099467,0.211829739,0.214886293
4072,0.223705211,0.224401121,0.22360714
