token_sequence_length,Predicted_time_per_token_s,Measured_time_per_token_s
472,0.024424411,0.0162851101
672,0.0265113876,0.0200293683
972,0.0297564028,0.0271731121
1472,0.0355049402,0.0367219169
1772,0.0391498391,0.0422646603
1972,0.0416630808,0.0464657012
2472,0.0482447092,0.0583469589
2972,0.0552359409,0.0691476605
3972,0.0704680408,0.0967004177
4972,0.087373265,0.12006613
5972,0.105937729,0.14699744
7972,0.148065204,0.204142992
9972,0.196864349,0.260966144
12972,0.282549019,0.354545851
15972,0.383229327,0.452150321
19972,0.54080323,0.595914296
24972,0.775251028,0.805367077
30972,1.1115724,1.10369132
