prompt_length_tokens,Token20_time_s,Token40_time_s,Token65_time_s,Token90_time_s
1939,0.002582074,0.003100244,0.003211276,0.003141797
3939,0.002399776,0.003336728,0.003155009,0.003069880
7939,0.001733988,0.003124315,0.003084408,0.003096472
15939,0.001737768,0.003095733,0.003041482,0.003177694
31939,0.001968609,0.002424067,0.003174132,0.003201751
35939,0.001812428,0.002966570,0.003168855,0.003062917
39939,0.002047180,0.002143013,0.003143190,0.003167043
47939,0.002298438,0.002610621,0.003038006,0.003267973
55939,0.002188442,0.002360098,0.002957903,0.003106343
65939,0.001981549,0.002833382,0.003413386,0.003169788
79939,0.001862042,0.002760985,0.003299941,0.003143262
95939,0.001988378,0.002274493,0.003338279,0.003287403
127939,0.002329549,0.002356588,0.003181968,0.003351043
129939,0.002096453,0.002963083,0.003348719,0.003596085
130939,0.002299360,0.002662552,0.003417188,0.003206539
131059,0.004104460,0.003008762,0.003419995,0.003987970
131189,0.008312175,0.009063093,0.009063093,0.010221559
131439,0.011203048,0.009356601,0.009385682,0.010312513
131689,0.008815593,0.010492618,0.010102843,0.009504223
131939,0.008312926,0.009394352,0.009346218,0.009105027
132939,0.008520556,0.008934804,0.008977361,0.009517894
133939,0.008703723,0.008916526,0.008928101,0.009135094
138939,0.009219180,0.008540977,0.008503014,0.008649699
143939,0.008936673,0.008693174,0.008693174,0.008611067
159939,0.008440475,0.009134820,0.009049330,0.009269911
179939,0.009979426,0.008882985,0.008884602,0.009050976
199939,0.007968997,0.008925719,0.008939125,0.009261170
219939,0.008189284,0.009023605,0.008956482,0.008910989
239939,0.009156722,0.009332769,0.009551943,0.009210333
255939,0.008537773,0.009169745,0.009123385,0.009914593
259939,0.008961479,0.008135191,0.008135191,0.008794909
511939,0.008941223,0.008792476,0.008792476,0.008881208
799939,0.008731072,0.008738049,0.008594996,0.009049526
999939,0.008496139,0.009061838,0.009096876,0.009268283
